rxn	KEGG_rxn_id	ec_code	direction	substrates_name	substrates_kegg	products_name	products_kegg	genes_model	uniprot_model	kcat	matching_score	catalytic_enzyme	kcat_substrate	kcat_organism	kcat_enzyme	kcat_temperature	kcat_ph	kcat_variant	kcat_db	kcat_id_percent
r_0711	R03658	6.1.1.6	forward	ATP;L-lysine;tRNA(Lys)	C00002;C00047;C01646	AMP;diphosphate;Lys-tRNA(Lys)	C00020;C00013;C01931	YDR037W	P15180	1.8	4	P15180	L-lysine	Escherichia coli		37.0	7.2	wildtype	brenda	-1.0
r_0712	R03658	6.1.1.6	forward	ATP;L-lysine;tRNA(Lys)	C00002;C00047;C01646	AMP;diphosphate;Lys-tRNA(Lys)	C00020;C00013;C01931	YNL073W	P32048	1.8	4	P32048	L-lysine	Escherichia coli		37.0	7.2	wildtype	brenda	-1.0
r_0713	R00342	1.1.1.37	forward	(S)-malate;NAD	C00149;C00003	H+;NADH;oxaloacetate	C00080;C00004;C00036	YKL085W	P17505	8.4	5	P17505	(S)-malate	Malus domestica	A3DSX0	25.0	7.9		brenda	27.34
r_0713	R00342	1.1.1.37	reverse	H+;NADH;oxaloacetate	C00080;C00004;C00036	(S)-malate;NAD	C00149;C00003	YKL085W	P17505	931	4	P17505	oxaloacetate	Escherichia coli	P61889	30.0	7.5	wildtype	brenda	37.15
r_0714	R00342	1.1.1.37	forward	(S)-malate;NAD	C00149;C00003	H+;NADH;oxaloacetate	C00080;C00004;C00036	YOL126C	P22133	8.4	5	P22133	(S)-malate	Malus domestica	A3DSX0	25.0	7.9		brenda	24.82
r_0714	R00342	1.1.1.37	reverse	H+;NADH;oxaloacetate	C00080;C00004;C00036	(S)-malate;NAD	C00149;C00003	YOL126C	P22133	931	4	P22133	oxaloacetate	Escherichia coli	P61889	30.0	7.5	wildtype	brenda	31.24
r_0715	R00342	1.1.1.37	forward	(S)-malate;NAD	C00149;C00003	H+;NADH;oxaloacetate	C00080;C00004;C00036	YDL078C	P32419	8.4	5	P32419	(S)-malate	Malus domestica	A3DSX0	25.0	7.9		brenda	25.93
r_0715	R00342	1.1.1.37	reverse	H+;NADH;oxaloacetate	C00080;C00004;C00036	(S)-malate;NAD	C00149;C00003	YDL078C	P32419	931	4	P32419	oxaloacetate	Escherichia coli	P61889	30.0	7.5	wildtype	brenda	34.5
r_0716	R00472	2.3.3.9	forward	acetyl-CoA;glyoxylate;H2O	C00024;C00048;C00001	(S)-malate;coenzyme A;H+	C00149;C00010;C00080	YIR031C	P21826	23	4	P21826	glyoxylate	Mycobacterium tuberculosis	P9WK17	25.0	7.5	wildtype	brenda	23.8
r_0716	R00472	2.3.3.9	forward	acetyl-CoA;glyoxylate;H2O	C00024;C00048;C00001	(S)-malate;coenzyme A;H+	C00149;C00010;C00080	YNL117W	P30952	23	4	P30952	glyoxylate	Mycobacterium tuberculosis	P9WK17	25.0	7.5	wildtype	brenda	23.33
r_0718	R00214	1.1.1.38	forward	(S)-malate;NAD	C00149;C00003	carbon dioxide;NADH;pyruvate	C00011;C00004;C00022	YKL029C	P36013	43	4	P36013	(S)-malate	Homo sapiens	P23368	30.0	7.4	wildtype	brenda	29.71
r_0719	R00214	1.1.1.38	forward	(S)-malate;NADP(+)	C00149;C00006	carbon dioxide;NADPH;pyruvate	C00011;C00005;C00022	YKL029C	P36013	43	4	P36013	(S)-malate	Homo sapiens	P23368	30.0	7.4	wildtype	brenda	29.71
r_0721	R01626	2.3.1.39	forward	malonyl-CoA;ACP1	C00083;C00229	carboxyacetyl-ACP;coenzyme A	C01209;C00010	YKL192C;YOR221C	Q12283;P32463	0.00047	4	Q12283	malonyl-CoA	Escherichia coli		25.0	7.5	wildtype	brenda	-1.0
r_0721	R01626	2.3.1.39	reverse	carboxyacetyl-ACP;coenzyme A	C01209;C00010	malonyl-CoA;ACP1	C00083;C00229	YKL192C;YOR221C	Q12283;P32463	0.00047	7	Q12283	malonyl-CoA	Escherichia coli		25.0	7.5	wildtype	brenda	-1.0
r_0722	R00885	2.7.7.13	forward	D-mannose 1-phosphate;GTP;H+	C00636;C00044;C00080	diphosphate;GDP-alpha-D-mannose	C00013;C00096	YDL055C	P41940	10.3	8	P41940	alpha-D-mannose 1-phosphate	Helicobacter pylori		37.0	8.0		brenda	-1.0
r_0723	R00772	5.3.1.8	forward	D-mannose 6-phosphate	C00275	D-fructose 6-phosphate	C00085	YER003C	P29952	20	3	P29952	D-mannose 6-phosphate	Saccharomyces cerevisiae		25.0	7.1		brenda	-1.0
r_0723	R00772	5.3.1.8	reverse	D-fructose 6-phosphate	C00085	D-mannose 6-phosphate	C00275	YER003C	P29952	141	6	P29952	D-fructose 6-phosphate	Thermus thermophilus	Q5SIM4	80.0	7.0	wildtype	brenda	21.31
r_0724	R01655	1.5.1.5	forward	5,10-methenyl-THF;H2O	C00445;C00001	10-formyl-THF;H+	C00234;C00080	YBR084W	P09440	19.9	7	P09440	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	17.71
r_0724	R01655	1.5.1.5	reverse	10-formyl-THF;H+	C00234;C00080	5,10-methenyl-THF;H2O	C00445;C00001	YBR084W	P09440	19.9	7	P09440	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	17.71
r_0724	R01655	3.5.4.9	forward	5,10-methenyl-THF;H2O	C00445;C00001	10-formyl-THF;H+	C00234;C00080	YBR084W	P09440	40.9	7	P09440	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	17.71
r_0724	R01655	3.5.4.9	reverse	10-formyl-THF;H+	C00234;C00080	5,10-methenyl-THF;H2O	C00445;C00001	YBR084W	P09440	40.9	7	P09440	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	17.71
r_0724	R01655	6.3.4.3	forward	5,10-methenyl-THF;H2O	C00445;C00001	10-formyl-THF;H+	C00234;C00080	YBR084W	P09440	1.13	7	P09440	formate	Moorella thermoacetica		27	7.0	wildtype	brenda	-1.0
r_0724	R01655	6.3.4.3	reverse	10-formyl-THF;H+	C00234;C00080	5,10-methenyl-THF;H2O	C00445;C00001	YBR084W	P09440	1.13	7	P09440	formate	Moorella thermoacetica		27	7.0	wildtype	brenda	-1.0
r_0725	R01655	1.5.1.5	forward	5,10-methenyl-THF;H2O	C00445;C00001	10-formyl-THF;H+	C00234;C00080	YGR204W	P07245	19.9	7	P07245	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	18.2
r_0725	R01655	1.5.1.5	reverse	10-formyl-THF;H+	C00234;C00080	5,10-methenyl-THF;H2O	C00445;C00001	YGR204W	P07245	19.9	7	P07245	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	18.2
r_0725	R01655	3.5.4.9	forward	5,10-methenyl-THF;H2O	C00445;C00001	10-formyl-THF;H+	C00234;C00080	YGR204W	P07245	40.9	7	P07245	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	18.2
r_0725	R01655	3.5.4.9	reverse	10-formyl-THF;H+	C00234;C00080	5,10-methenyl-THF;H2O	C00445;C00001	YGR204W	P07245	40.9	7	P07245	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	18.2
r_0725	R01655	6.3.4.3	forward	5,10-methenyl-THF;H2O	C00445;C00001	10-formyl-THF;H+	C00234;C00080	YGR204W	P07245	1.13	7	P07245	formate	Moorella thermoacetica		27	7.0	wildtype	brenda	-1.0
r_0725	R01655	6.3.4.3	reverse	10-formyl-THF;H+	C00234;C00080	5,10-methenyl-THF;H2O	C00445;C00001	YGR204W	P07245	1.13	7	P07245	formate	Moorella thermoacetica		27	7.0	wildtype	brenda	-1.0
r_0726	R00177	2.5.1.6	forward	ATP;H2O;L-methionine	C00002;C00001;C00073	diphosphate;phosphate;S-adenosyl-L-methionine	C00013;C00009;C00019	YDR502C	P19358	0.43	4	P19358	L-methionine	Homo sapiens	P31153	37.0	8.0	wildtype	brenda	53.35
r_0726	R00177	2.5.1.6	forward	ATP;H2O;L-methionine	C00002;C00001;C00073	diphosphate;phosphate;S-adenosyl-L-methionine	C00013;C00009;C00019	YLR180W	P10659	0.43	4	P10659	L-methionine	Homo sapiens	P31153	37.0	8.0	wildtype	brenda	54.17
r_0727	R00946	2.1.1.14	forward	5-methyltetrahydrofolate;L-homocysteine	C00440;C00155	L-methionine;THF	C00073;C00101	YER091C	P05694	0.33	3	P05694	L-homocysteine	Saccharomyces cerevisiae		37	7.2		brenda	-1.0
r_0728	R03940	2.1.2.9	forward	10-formyl-THF;Met-tRNA(Met)	C00234;C02430	fMet-tRNA(fMet);H+;THF	C03294;C00080;C00101	YBL013W	P32785	0.0005	8	P32785	L-isoleucyl-tRNAfMet	Saccharomyces cerevisiae					brenda	-1.0
r_0729	R03659	6.1.1.10	forward	ATP;L-methionine;tRNA(Met)	C00002;C00073;C01647	AMP;diphosphate;Met-tRNA(Met)	C00020;C00013;C02430	YGR264C	P00958	1.85	4	P00958	L-methionine	Homo sapiens	P56192	25.0	7.5	wildtype	brenda	33.9
r_0730	R03659	6.1.1.10	forward	ATP;L-methionine;tRNA(Met)	C00002;C00073;C01647	AMP;diphosphate;Met-tRNA(Met)	C00020;C00013;C02430	YGR171C	P22438	0.207	4	P22438	L-methionine	Xanthomonas citri	Q8PMP0	25.0	7.5	wildtype	brenda	23.44
r_0731	R01218	1.5.1.15	forward	5,10-methylenetetrahydrofolate;NAD	C00143;C00003	5,10-methenyl-THF;NADH	C00445;C00004	YKR080W	Q02046	0.15	4	Q02046	5,10-methylenetetrahydrofolate	Escherichia coli		25.0	7.2	wildtype	brenda	-1.0
r_0732	R01220	1.5.1.5	forward	5,10-methylenetetrahydrofolate;NADP(+)	C00143;C00006	5,10-methenyl-THF;NADPH	C00445;C00005	YGR204W	P07245	19.9	7	P07245	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	18.2
r_0732	R01220	1.5.1.5	reverse	5,10-methenyl-THF;NADPH	C00445;C00005	5,10-methylenetetrahydrofolate;NADP(+)	C00143;C00006	YGR204W	P07245	19.9	7	P07245	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	18.2
r_0732	R01220	3.5.4.9	forward	5,10-methylenetetrahydrofolate;NADP(+)	C00143;C00006	5,10-methenyl-THF;NADPH	C00445;C00005	YGR204W	P07245	40.9	7	P07245	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	18.2
r_0732	R01220	3.5.4.9	reverse	5,10-methenyl-THF;NADPH	C00445;C00005	5,10-methylenetetrahydrofolate;NADP(+)	C00143;C00006	YGR204W	P07245	40.9	7	P07245	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	18.2
r_0732	R01220	6.3.4.3	forward	5,10-methylenetetrahydrofolate;NADP(+)	C00143;C00006	5,10-methenyl-THF;NADPH	C00445;C00005	YGR204W	P07245	1.13	7	P07245	formate	Moorella thermoacetica		27	7.0	wildtype	brenda	-1.0
r_0732	R01220	6.3.4.3	reverse	5,10-methenyl-THF;NADPH	C00445;C00005	5,10-methylenetetrahydrofolate;NADP(+)	C00143;C00006	YGR204W	P07245	1.13	7	P07245	formate	Moorella thermoacetica		27	7.0	wildtype	brenda	-1.0
r_0733	R01220	1.5.1.5	forward	5,10-methylenetetrahydrofolate;NADP(+)	C00143;C00006	5,10-methenyl-THF;NADPH	C00445;C00005	YBR084W	P09440	19.9	7	P09440	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	17.71
r_0733	R01220	1.5.1.5	reverse	5,10-methenyl-THF;NADPH	C00445;C00005	5,10-methylenetetrahydrofolate;NADP(+)	C00143;C00006	YBR084W	P09440	19.9	7	P09440	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	17.71
r_0733	R01220	3.5.4.9	forward	5,10-methylenetetrahydrofolate;NADP(+)	C00143;C00006	5,10-methenyl-THF;NADPH	C00445;C00005	YBR084W	P09440	40.9	7	P09440	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	17.71
r_0733	R01220	3.5.4.9	reverse	5,10-methenyl-THF;NADPH	C00445;C00005	5,10-methylenetetrahydrofolate;NADP(+)	C00143;C00006	YBR084W	P09440	40.9	7	P09440	5,10-methenyltetrahydrofolate	Escherichia coli	P24186	30.0	7.6	wildtype	brenda	17.71
r_0733	R01220	6.3.4.3	forward	5,10-methylenetetrahydrofolate;NADP(+)	C00143;C00006	5,10-methenyl-THF;NADPH	C00445;C00005	YBR084W	P09440	1.13	7	P09440	formate	Moorella thermoacetica		27	7.0	wildtype	brenda	-1.0
r_0733	R01220	6.3.4.3	reverse	5,10-methenyl-THF;NADPH	C00445;C00005	5,10-methylenetetrahydrofolate;NADP(+)	C00143;C00006	YBR084W	P09440	1.13	7	P09440	formate	Moorella thermoacetica		27	7.0	wildtype	brenda	-1.0
r_0734	R00409	4.1.3.30	forward	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid	C04593	pyruvate;succinate	C00022;C00042	YPR006C	Q12031	105	7	Q12031	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate	Salmonella enterica		37.0	7.5	wildtype	brenda	-1.0
r_0735	R02245	2.7.1.36	forward	(R)-mevalonate;ATP	C00418;C00002	(R)-5-phosphomevalonic acid;ADP;H+	C01107;C00008;C00080	YMR208W	P07277	21.9	4	P07277	(R)-mevalonate	Rattus norvegicus		34.0	7.5	wildtype	brenda	-1.0
r_0736		2.7.1.36	forward	(R)-mevalonate;CTP	C00418;C00063	(R)-5-phosphomevalonic acid;CDP;H+	C01107;C00112;C00080	YMR208W	P07277	21.9	4	P07277	(R)-mevalonate	Rattus norvegicus		34.0	7.5	wildtype	brenda	-1.0
r_0737		2.7.1.36	forward	(R)-mevalonate;GTP	C00418;C00044	(R)-5-phosphomevalonic acid;GDP;H+	C01107;C00035;C00080	YMR208W	P07277	21.9	4	P07277	(R)-mevalonate	Rattus norvegicus		34.0	7.5	wildtype	brenda	-1.0
r_0738		2.7.1.36	forward	(R)-mevalonate;UTP	C00418;C00075	(R)-5-phosphomevalonic acid;H+;UDP	C01107;C00080;C00015	YMR208W	P07277	21.9	4	P07277	(R)-mevalonate	Rattus norvegicus		34.0	7.5	wildtype	brenda	-1.0
r_0739	R01121	4.1.1.33	forward	(R)-5-diphosphomevalonic acid;ATP	C01143;C00002	ADP;carbon dioxide;isopentenyl diphosphate;phosphate	C00008;C00011;C00129;C00009	YNR043W	P32377	4.9	3	P32377	5-diphosphomevalonate	Saccharomyces cerevisiae	P32377	30.0	7.0	wildtype	brenda	100.0
r_0757	R01185	3.1.3.25	forward	1D-myo-inositol 1-phosphate;H2O	C01177;C00001	myo-inositol;phosphate	C00137;C00009	YDR287W	Q05533	0.49	7	Q05533	D-myo-Inositol 1-phosphate	Escherichia coli	P0ADG4	37.0	8.0	wildtype	brenda	26.47
r_0757	R01185	3.1.3.25	forward	1D-myo-inositol 1-phosphate;H2O	C01177;C00001	myo-inositol;phosphate	C00137;C00009	YHR046C	P38710	0.49	7	P38710	D-myo-Inositol 1-phosphate	Escherichia coli	P0ADG4	37.0	8.0	wildtype	brenda	25.45
r_0758		5.5.1.4	forward	D-glucose 6-phosphate	C00092	1D-myo-inositol 1-phosphate	C01177	YJL153C	P11986	0.009	5	P11986	D-glucose 6-phosphate	Corynebacterium glutamicum	Q8NLE6	37.0	7.5		brenda	22.57
r_0759	R03443	1.2.1.38	forward	H+;N-acetyl-L-gamma-glutamyl phosphate;NADPH	C00080;C04133;C00005	2-acetamido-5-oxopentanoate;NADP(+);phosphate	C01250;C00006;C00009	YER069W	Q01217		15									
r_0759	R03443	2.7.2.8	forward	H+;N-acetyl-L-gamma-glutamyl phosphate;NADPH	C00080;C04133;C00005	2-acetamido-5-oxopentanoate;NADP(+);phosphate	C01250;C00006;C00009	YER069W	Q01217	4.9	4	Q01217	N-acetyl-L-glutamate	Saccharomyces cerevisiae	Q01217	37.0		wildtype	brenda	100.0
r_0760	R02058	2.3.1.4	forward	acetyl-CoA;alpha-D-glucosamine 6-phosphate	C00024;C00352	coenzyme A;H+;N-acetyl-D-glucosamine 6-phosphate	C00010;C00080;C00357	YFL017C	P43577	136	7	P43577	D-glucosamine 6-phosphate	Caenorhabditis elegans	Q17427	30.0	7.5	wildtype	brenda	24.14
r_0761	R00259	2.3.1.1	forward	acetyl-CoA;L-glutamate	C00024;C00025	coenzyme A;H+;N-acetyl-L-glutamate	C00010;C00080;C00624	YJL071W	P40360	0.22	7	P40360	L-glutamate	Mycobacterium tuberculosis					brenda	-1.0
r_0761	R00259	2.3.1.1	reverse	coenzyme A;H+;N-acetyl-L-glutamate	C00010;C00080;C00624	acetyl-CoA;L-glutamate	C00024;C00025	YJL071W	P40360	0.22	10	P40360	L-glutamate	Mycobacterium tuberculosis					brenda	-1.0
r_0761	R00259	2.3.1.1	forward	acetyl-CoA;L-glutamate	C00024;C00025	coenzyme A;H+;N-acetyl-L-glutamate	C00010;C00080;C00624	YMR062C	Q04728	0.22	7	Q04728	L-glutamate	Mycobacterium tuberculosis					brenda	-1.0
r_0761	R00259	2.3.1.1	reverse	coenzyme A;H+;N-acetyl-L-glutamate	C00010;C00080;C00624	acetyl-CoA;L-glutamate	C00024;C00025	YMR062C	Q04728	0.22	10	Q04728	L-glutamate	Mycobacterium tuberculosis					brenda	-1.0
r_0761	R00259	2.3.1.35	forward	acetyl-CoA;L-glutamate	C00024;C00025	coenzyme A;H+;N-acetyl-L-glutamate	C00010;C00080;C00624	YJL071W	P40360		15									
r_0761	R00259	2.3.1.35	reverse	coenzyme A;H+;N-acetyl-L-glutamate	C00010;C00080;C00624	acetyl-CoA;L-glutamate	C00024;C00025	YJL071W	P40360		15									
r_0761	R00259	2.3.1.35	forward	acetyl-CoA;L-glutamate	C00024;C00025	coenzyme A;H+;N-acetyl-L-glutamate	C00010;C00080;C00624	YMR062C	Q04728		15									
r_0761	R00259	2.3.1.35	reverse	coenzyme A;H+;N-acetyl-L-glutamate	C00010;C00080;C00624	acetyl-CoA;L-glutamate	C00024;C00025	YMR062C	Q04728		15									
r_0762	R01959	3.5.1.9	forward	H2O;N-formyl-L-kynurenine	C00001;C02700	formate;H+;L-kynurenine	C00058;C00080;C00328	YDR428C	Q04066	161	3	Q04066	N-formyl-L-kynurenine	Saccharomyces cerevisiae	Q04066				brenda	100.0
r_0764	R00103	3.6.1.22	forward	H2O;NAD	C00001;C00003	AMP;H+;NMN	C00020;C00080;C00455	YGL067W	P53164	59.5	7	P53164	NADH	Escherichia coli	P32664	37.0	8.0	wildtype	brenda	23.51
r_0765	R00104	2.7.1.23	forward	ATP;NAD	C00002;C00003	ADP;H+;NADP(+)	C00008;C00080;C00006	YEL041W	P32622	0.52	4	P32622	ATP	Corynebacterium glutamicum		30.0	7.5	wildtype	brenda	-1.0
r_0765	R00104	2.7.1.23	forward	ATP;NAD	C00002;C00003	ADP;H+;NADP(+)	C00008;C00080;C00006	YJR049C	P21373	0.52	4	P21373	ATP	Corynebacterium glutamicum		30.0	7.5	wildtype	brenda	-1.0
r_0765	R00104	2.7.1.86	forward	ATP;NAD	C00002;C00003	ADP;H+;NADP(+)	C00008;C00080;C00006	YEL041W	P32622		15									
r_0765	R00104	2.7.1.86	forward	ATP;NAD	C00002;C00003	ADP;H+;NADP(+)	C00008;C00080;C00006	YJR049C	P21373		15									
r_0766	R00104	2.7.1.23	forward	ATP;NAD	C00002;C00003	ADP;H+;NADP(+)	C00008;C00080;C00006	YPL188W	Q06892	0.52	4	Q06892	ATP	Corynebacterium glutamicum		30.0	7.5	wildtype	brenda	-1.0
r_0766	R00104	2.7.1.86	forward	ATP;NAD	C00002;C00003	ADP;H+;NADP(+)	C00008;C00080;C00006	YPL188W	Q06892		15									
r_0768	R00257	6.3.5.1	forward	ATP;deamido-NAD(+);H2O;L-glutamine	C00002;C00857;C00001;C00064	AMP;diphosphate;H+;L-glutamate;NAD	C00020;C00013;C00080;C00025;C00003	YHR074W	P38795	6.4	3	P38795	L-glutamine	Saccharomyces cerevisiae		37.0		wildtype	brenda	-1.0
r_0769	R00257	6.3.5.1	reverse	AMP;diphosphate;H+;L-glutamate;NAD	C00020;C00013;C00080;C00025;C00003	ATP;deamido-NAD(+);H2O;L-glutamine	C00002;C00857;C00001;C00064	YHR074W	P38795	6.4	6	P38795	L-glutamine	Saccharomyces cerevisiae		37.0		wildtype	brenda	-1.0
r_0770		1.6.5.9	forward	H+;NADH;ubiquinone-6	C00080;C00004;C17568	NAD;ubiquinol-6	C00003;C00390	YDL085W	Q07500		15									
r_0770		1.6.5.9	forward	H+;NADH;ubiquinone-6	C00080;C00004;C17568	NAD;ubiquinol-6	C00003;C00390	YMR145C	P40215		15									
r_0771	R00105	2.7.1.23	forward	ATP;NADH	C00002;C00004	ADP;H+;NADPH	C00008;C00080;C00005	YEL041W	P32622	0.52	4	P32622	ATP	Corynebacterium glutamicum		30.0	7.5	wildtype	brenda	-1.0
r_0771	R00105	2.7.1.23	forward	ATP;NADH	C00002;C00004	ADP;H+;NADPH	C00008;C00080;C00005	YJR049C	P21373	0.52	4	P21373	ATP	Corynebacterium glutamicum		30.0	7.5	wildtype	brenda	-1.0
r_0771	R00105	2.7.1.86	forward	ATP;NADH	C00002;C00004	ADP;H+;NADPH	C00008;C00080;C00005	YEL041W	P32622		15									
r_0771	R00105	2.7.1.86	forward	ATP;NADH	C00002;C00004	ADP;H+;NADPH	C00008;C00080;C00005	YJR049C	P21373		15									
r_0772	R00105	2.7.1.23	forward	ATP;NADH	C00002;C00004	ADP;H+;NADPH	C00008;C00080;C00005	YPL188W	Q06892	0.52	4	Q06892	ATP	Corynebacterium glutamicum		30.0	7.5	wildtype	brenda	-1.0
r_0772	R00105	2.7.1.86	forward	ATP;NADH	C00002;C00004	ADP;H+;NADPH	C00008;C00080;C00005	YPL188W	Q06892		15									
r_0773		1.6.5.9	forward	H+;NADH;ubiquinone-6	C00080;C00004;C17568	NAD;ubiquinol-6	C00003;C00390	YML120C	P32340		15									
r_0774	R01724	6.3.4.21	forward	ATP;H+;nicotinate;PRPP	C00002;C00080;C00253;C00119	ADP;diphosphate;nicotinic acid D-ribonucleotide;phosphate	C00008;C00013;C01185;C00009	YOR209C	P39683	0.012	5	P39683	nicotinate	Homo sapiens	Q6XQN6	37	7.5		brenda	20.42
r_0781	R01268	3.5.1.19	forward	H2O;nicotinamide	C00001;C00153	ammonium;nicotinate	C01342;C00253	YGL037C	P53184	0.69	0	P53184	nicotinamide	Saccharomyces cerevisiae	P53184	25.0	7.5	wildtype	brenda	100.0
r_0783	R00137	2.7.7.1	forward	ATP;H+;NMN	C00002;C00080;C00455	diphosphate;NAD	C00013;C00003	YCL047C	P25576	0.74	5	P25576	ATP	Mus musculus	Q99JR6	37.0	7.5		brenda	24.2
r_0783	R00137	2.7.7.1	forward	ATP;H+;NMN	C00002;C00080;C00455	diphosphate;NAD	C00013;C00003	YLR328W	Q06178	2.5	5	Q06178	ATP	Homo sapiens	Q9HAN9	37.0	7.5		brenda	23.86
r_0783	R00137	2.7.7.18	forward	ATP;H+;NMN	C00002;C00080;C00455	diphosphate;NAD	C00013;C00003	YCL047C	P25576	5.5	7	P25576	nicotinate beta-D-ribonucleotide	Mycobacterium tuberculosis	P9WJJ5	37.0	7.5	wildtype	brenda	21.65
r_0783	R00137	2.7.7.18	forward	ATP;H+;NMN	C00002;C00080;C00455	diphosphate;NAD	C00013;C00003	YLR328W	Q06178	5.5	7	Q06178	nicotinate beta-D-ribonucleotide	Mycobacterium tuberculosis	P9WJJ5	37.0	7.5	wildtype	brenda	20.12
r_0784	R00137	2.7.7.1	forward	ATP;H+;NMN	C00002;C00080;C00455	diphosphate;NAD	C00013;C00003	YGR010W	P53204	2.5	5	P53204	ATP	Homo sapiens	Q9HAN9	37.0	7.5		brenda	24.81
r_0784	R00137	2.7.7.18	forward	ATP;H+;NMN	C00002;C00080;C00455	diphosphate;NAD	C00013;C00003	YGR010W	P53204	5.5	7	P53204	nicotinate beta-D-ribonucleotide	Mycobacterium tuberculosis	P9WJJ5	37.0	7.5	wildtype	brenda	19.65
r_0785	R03005	2.7.7.1	forward	ATP;H+;nicotinic acid D-ribonucleotide	C00002;C00080;C01185	deamido-NAD(+);diphosphate	C00857;C00013	YGR010W	P53204	2.5	5	P53204	ATP	Homo sapiens	Q9HAN9	37.0	7.5		brenda	24.81
r_0785	R03005	2.7.7.1	forward	ATP;H+;nicotinic acid D-ribonucleotide	C00002;C00080;C01185	deamido-NAD(+);diphosphate	C00857;C00013	YLR328W	Q06178	2.5	5	Q06178	ATP	Homo sapiens	Q9HAN9	37.0	7.5		brenda	23.86
r_0785	R03005	2.7.7.18	forward	ATP;H+;nicotinic acid D-ribonucleotide	C00002;C00080;C01185	deamido-NAD(+);diphosphate	C00857;C00013	YGR010W	P53204	5.5	7	P53204	nicotinate beta-D-ribonucleotide	Mycobacterium tuberculosis	P9WJJ5	37.0	7.5	wildtype	brenda	19.65
r_0785	R03005	2.7.7.18	forward	ATP;H+;nicotinic acid D-ribonucleotide	C00002;C00080;C01185	deamido-NAD(+);diphosphate	C00857;C00013	YLR328W	Q06178	5.5	7	Q06178	nicotinate beta-D-ribonucleotide	Mycobacterium tuberculosis	P9WJJ5	37.0	7.5	wildtype	brenda	20.12
r_0786	R03348	2.4.2.19	forward	H+;PRPP;quinolinate	C00080;C00119;C03722	carbon dioxide;diphosphate;nicotinic acid D-ribonucleotide	C00011;C00013;C01185	YFR047C	P43619	0.12	8	P43619	quinolinic acid	Mycobacterium tuberculosis	P9WJJ7	37.0	7.2		brenda	25.0
r_0788	R00122	3.6.1.5	forward	ADP;H2O	C00008;C00001	AMP;H+;phosphate	C00020;C00080;C00009	YER005W	P40009	77.3	4	P40009	ADP	Rattus norvegicus	P97687	25.0	7.4	wildtype	brenda	23.35
r_0789	R00328	3.6.1.5	forward	GDP;H2O	C00035;C00001	GMP;H+;phosphate	C00144;C00080;C00009	YER005W	P40009	82.6	4	P40009	GDP	Rattus norvegicus	P97687	25.0	7.4	wildtype	brenda	23.35
r_0790	R00155	3.6.1.5	forward	H2O;UDP	C00001;C00015	H+;phosphate;UMP	C00080;C00009;C00105	YER005W	P40009	80.9	4	P40009	UDP	Rattus norvegicus	P97687	25.0	7.4	wildtype	brenda	23.35
r_0791	R00155	3.6.1.42	forward	H2O;UDP	C00001;C00015	H+;phosphate;UMP	C00080;C00009;C00105	YEL042W	P32621	3830	8	P32621	GDP	Saccharomyces cerevisiae					brenda	-1.0
r_0792	R00514	3.6.1.5	forward	CDP;H2O	C00112;C00001	CMP;H+;phosphate	C00055;C00080;C00009	YER005W	P40009	40.5	7	P40009	AMPCPP	Rattus norvegicus	P97687	25.0	7.4	wildtype	brenda	23.35
r_0793	R00961	3.6.1.5	forward	H2O;IDP	C00001;C00104	H+;IMP;phosphate	C00080;C00130;C00009	YER005W	P40009	79.9	4	P40009	IDP	Rattus norvegicus	P97687	25.0	7.4	wildtype	brenda	23.35
r_0795	R00570	2.7.4.6	forward	ATP;CDP	C00002;C00112	ADP;CTP	C00008;C00063	YKL067W	P36010	0.159	7	P36010	8-bromoinosine 5'-diphosphate	Mycobacterium tuberculosis	P9WJH7	22.0	7.5	wildtype	brenda	36.32
